,Unnamed: 0,num_iters,km_perturb,kc_perturb,loss,k1,k2,theta1,theta2,circuit,perturbed
122,122,500,0.9,1.5,0.0587206259339782,0.0004622919619946,6.486594888640076e-05,2.414574306958694,9.117686917975025,Dual Control,True
123,123,500,0.95,1.5,0.0581606653551325,0.0008165354604045,6.334349728305782e-05,1.958080857014524,9.97795424376451,Dual Control,True
124,124,500,1.05,1.5,0.0592244490356511,0.0006705968667139,4.5586285447260345e-05,2.749920309588778,9.817141969332368,Dual Control,True
125,125,500,1.1,1.5,0.0588279864596462,0.000958625409548,4.2570488856944685e-05,2.2880969291127555,9.716837720096574,Dual Control,True
126,126,500,1.25,1.5,0.0602984324308363,0.0001783174143721,4.97329767896507e-05,5.623988001272229,9.61790622167777,Dual Control,True
127,127,500,1.5,1.5,0.0604665895189874,0.0006943918755259,5.152658422533277e-05,2.6242375029414293,9.980810293905265,Dual Control,True
128,128,500,0.5,0.5,0.0758708978037152,0.0007426402770202,8.03716668086165e-05,2.758055766807834,9.054787149306303,Dual Control,True
129,129,500,0.75,0.5,0.078318152566654,0.0003976031406793,6.318460084963836e-05,5.246484671235217,9.2806338414181,Dual Control,True
130,130,500,0.9,0.5,0.0801264193212691,0.0009407557212843,3.478822966031038e-05,9.581755124619706,6.151414892451219,Dual Control,True
131,131,500,0.95,0.5,0.0792629560174879,0.000637881849286,5.612761149479289e-05,5.73639793110772,9.899543436205242,Dual Control,True
132,132,500,1.05,0.5,0.0807048532969802,0.000747581873015,3.707995779376389e-05,8.953180411277451,4.3930931656195416,Dual Control,True
133,133,500,1.1,0.5,0.0794083466427561,0.0007096700737292,4.875382741978096e-05,6.547916706941379,9.98817097676056,Dual Control,True
134,134,500,1.25,0.5,0.0803849365500723,0.0005377392899737,4.266244323473114e-05,9.96357442585236,9.239425204251596,Dual Control,True
135,135,500,1.5,0.5,0.0811141183913351,0.0006447496755274,4.250318402191432e-05,9.867712101838965,8.460583936715436,Dual Control,True
136,136,500,0.5,0.75,0.0649785916591969,0.0009812974815198,9.427507215496244e-05,1.668743125719652,9.965252498010758,Dual Control,True
137,137,500,0.75,0.75,0.0681948504746872,0.0003701399207299,4.766245691225565e-05,5.30911399834511,9.977750762961104,Dual Control,True
138,138,500,0.9,0.75,0.06999210383507,0.0001365869329605,4.928713147317653e-05,9.265976219894412,8.53848217739191,Dual Control,True
139,139,500,0.95,0.75,0.0697647373221398,0.000127820237473,7.096206754500936e-05,8.36642495689712,9.9984216755825,Dual Control,True
140,140,500,1.05,0.75,0.0703975327534245,0.0007109430748033,6.527887202157205e-05,3.136856875269915,9.364192869361863,Dual Control,True
141,141,500,1.1,0.75,0.0704651297036637,0.0003313845919915,6.448214221421375e-05,4.781880815054859,9.991244148667906,Dual Control,True
